Model,RMSE,MAE,R²
Random Forest,0.924515547298123,0.693329557938106,0.43140117760021013
XGBoost,0.9531243050141178,0.7051838402330971,0.3956665868921645
LightGBM,0.928632346350533,0.6871843214529174,0.4263260464784887
