feature,importance
actor_rating,0.15515408671418188
writer_rating,0.1516563960069791
director_rating,0.1274387876394939
production_company_encoded,0.09746973136627493
language_encoded,0.020594985177131136
votes_log,0.018501733076766336
country_encoded,0.01836980593918346
genre_Horror,0.014875386483525965
genre_Drama,0.013484367851231487
duration,0.011764609935386817
year,0.00813194992805903
actor_count,0.006344552614445479
writer_count,0.005860478561372127
director_count,0.005379667382688723
desc_emb_698,0.00304797687973565
genre_Sci-Fi,0.0020235507505582694
genre_Thriller,0.0019510132219986186
desc_emb_762,0.0018865035744385287
desc_emb_394,0.00175979229295704
desc_emb_549,0.0016908890615423499
desc_emb_580,0.0016464104920894775
desc_emb_480,0.0016200921701805275
desc_emb_39,0.0014907547395918335
desc_emb_592,0.0014854830169382445
desc_emb_425,0.001459708014422166
desc_emb_612,0.0013447944692711084
desc_emb_683,0.001334372687846445
desc_emb_395,0.001330139844245701
desc_emb_382,0.0012610456819808435
desc_emb_159,0.0012481418050909532
desc_emb_364,0.0012152415458363955
desc_emb_124,0.0011829597748511625
desc_emb_98,0.0011796244454651713
desc_emb_543,0.0011579380527121984
desc_emb_80,0.001153582595267415
desc_emb_526,0.001128064044001594
desc_emb_564,0.001099647854953954
desc_emb_456,0.0010669509797224899
desc_emb_374,0.0010424061277303552
desc_emb_291,0.0010390655714424704
genre_Action,0.0009841503985494257
desc_emb_47,0.0008985202868144442
desc_emb_646,0.0008483648309313636
desc_emb_654,0.0008414287766954479
desc_emb_55,0.0008366698838724126
desc_emb_147,0.0008321811787638077
desc_emb_442,0.000813018349262124
desc_emb_13,0.000786104219147063
desc_emb_591,0.000767188099733324
desc_emb_276,0.0007663236003300165
desc_emb_328,0.000754449430402411
desc_emb_406,0.0007354948055858527
desc_emb_245,0.0007338200931565201
desc_emb_236,0.0007331307197067924
desc_emb_657,0.0007279996774961009
desc_emb_566,0.0007276891236797491
desc_emb_695,0.0007259892570525839
desc_emb_292,0.0007200467306219563
desc_emb_550,0.0007006768744768438
desc_emb_116,0.0006962131031253743
desc_emb_317,0.0006827056996244216
desc_emb_233,0.0006721286374193698
desc_emb_178,0.000671402685585702
desc_emb_58,0.0006710057971847629
desc_emb_230,0.000666855814736339
desc_emb_170,0.0006583513502815656
desc_emb_70,0.0006511763459077276
desc_emb_640,0.0006475774936469804
desc_emb_366,0.00064739658584409
desc_emb_484,0.0006413040214517356
desc_emb_463,0.0006402410921629012
desc_emb_270,0.0006383798844313209
desc_emb_340,0.0006374985424294936
desc_emb_643,0.0006347306833264933
desc_emb_546,0.0006271087010408516
desc_emb_126,0.0006132566695612658
desc_emb_595,0.0005996164175409684
desc_emb_720,0.0005963419176105522
desc_emb_243,0.0005942931193281407
desc_emb_29,0.0005939818633447558
desc_emb_535,0.0005922530929282493
desc_emb_681,0.0005914498752145633
desc_emb_165,0.0005841986201854071
desc_emb_176,0.0005771875501245633
desc_emb_392,0.0005687131688044587
desc_emb_268,0.0005636775437279952
desc_emb_634,0.0005472802301297585
desc_emb_134,0.0005457268321803336
desc_emb_602,0.0005448794961030825
desc_emb_756,0.0005424666119513037
desc_emb_156,0.0005403590522864962
desc_emb_235,0.0005393458428678961
desc_emb_53,0.0005385324453426875
desc_emb_460,0.0005372606536396832
desc_emb_184,0.0005350649707494695
desc_emb_31,0.000532851487016317
desc_emb_279,0.0005313850330921731
desc_emb_206,0.0005309049362433373
desc_emb_344,0.0005276312513237965
desc_emb_458,0.0005267429893965606
desc_emb_293,0.0005264539083363162
desc_emb_440,0.0005250735874514073
desc_emb_673,0.0005236840207901676
desc_emb_125,0.0005230282906066587
desc_emb_685,0.0005157688636604213
desc_emb_354,0.000514483543726946
desc_emb_664,0.0005112682231402202
desc_emb_180,0.0005086154605830488
desc_emb_724,0.0005081607253000114
desc_emb_82,0.0005076157441802665
